Encoding,Configuration,solve-CPU,solve-Wall,Pre-CPU,Pre-WALL,Name
kmtotalizer,Graph,465.43,465.44,1.55,1.61,aes-sbox_4-unsat
kmtotalizer,Natural,1800,1800,0,0.08,aes-sbox_4-unsat
kmtotalizer,Occurrence,1800,1800,0,0.12,aes-sbox_4-unsat
kmtotalizer,Random_1,1800,1800,0,0.07,aes-sbox_4-unsat
kmtotalizer,Random_2,1800,1800,0,0.07,aes-sbox_4-unsat
kmtotalizer,Random_3,1800,1800,0,0.09,aes-sbox_4-unsat
kmtotalizer,Random_4,1800,1800,0,0.07,aes-sbox_4-unsat
kmtotalizer,Random_5,1800,1800,0,0.07,aes-sbox_4-unsat
kmtotalizer,PAMO+Occur,4.010000000000002,4.039999999999996,30.87,30.94,atcoss-atcoss_mesat_01-sat
kmtotalizer,Natural+PAMO,5.43,5.470000000000001,2.81,2.83,atcoss-atcoss_mesat_01-sat
kmtotalizer,PAMO,4.019999999999996,4.0000000000000036,30.85,30.95,atcoss-atcoss_mesat_01-sat
kmtotalizer,Proximity,3.9000000000000004,3.95,4.83,4.89,atcoss-atcoss_mesat_01-sat
kmtotalizer,Graph,5.5,5.490000000000009,334.51,334.61,atcoss-atcoss_mesat_01-sat
kmtotalizer,Natural,5.45,5.46,2.34,2.39,atcoss-atcoss_mesat_01-sat
kmtotalizer,Occurrence,3.97,3.99,4.1,4.13,atcoss-atcoss_mesat_01-sat
kmtotalizer,Random_1,4.84,4.88,3.3,3.37,atcoss-atcoss_mesat_01-sat
kmtotalizer,Random_2,6.96,6.99,3.3,3.36,atcoss-atcoss_mesat_01-sat
kmtotalizer,Random_3,4.06,4.04,3.3,3.36,atcoss-atcoss_mesat_01-sat
kmtotalizer,Random_4,4.8,4.76,3.29,3.37,atcoss-atcoss_mesat_01-sat
kmtotalizer,Random_5,4.39,4.44,3.31,3.36,atcoss-atcoss_mesat_01-sat
kmtotalizer,PAMO+Occur,6.100000000000001,6.169999999999998,30.85,30.91,atcoss-atcoss_mesat_01-unsat
kmtotalizer,Natural+PAMO,7.5,7.500000000000001,2.72,2.8,atcoss-atcoss_mesat_01-unsat
kmtotalizer,PAMO,6.109999999999999,6.18,30.82,30.89,atcoss-atcoss_mesat_01-unsat
kmtotalizer,Proximity,6.16,6.2,4.84,4.88,atcoss-atcoss_mesat_01-unsat
kmtotalizer,Graph,7.399999999999977,7.449999999999989,336.23,336.32,atcoss-atcoss_mesat_01-unsat
kmtotalizer,Natural,7.38,7.42,2.38,2.4,atcoss-atcoss_mesat_01-unsat
kmtotalizer,Occurrence,6.2,6.25,4.06,4.1,atcoss-atcoss_mesat_01-unsat
kmtotalizer,Random_1,7.49,7.49,3.3,3.34,atcoss-atcoss_mesat_01-unsat
kmtotalizer,Random_2,5.6,5.59,3.3,3.38,atcoss-atcoss_mesat_01-unsat
kmtotalizer,Random_3,5.98,6.07,3.36,3.39,atcoss-atcoss_mesat_01-unsat
kmtotalizer,Random_4,5.16,5.2,3.29,3.35,atcoss-atcoss_mesat_01-unsat
kmtotalizer,Random_5,7.21,7.21,3.29,3.37,atcoss-atcoss_mesat_01-unsat
kmtotalizer,PAMO+Occur,13.79,13.77,6.59,6.68,atcoss-atcoss_mesat_06-sat
kmtotalizer,Natural+PAMO,11.97,11.990000000000002,4.26,4.31,atcoss-atcoss_mesat_06-sat
kmtotalizer,PAMO,14.579999999999998,14.54,33.85,33.94,atcoss-atcoss_mesat_06-sat
kmtotalizer,Proximity,14.5,14.55,7.37,7.46,atcoss-atcoss_mesat_06-sat
kmtotalizer,Graph,11.799999999999955,11.75,383.29,383.48,atcoss-atcoss_mesat_06-sat
kmtotalizer,Natural,11.79,11.73,3.57,3.66,atcoss-atcoss_mesat_06-sat
kmtotalizer,Occurrence,13.8,13.77,6.07,6.18,atcoss-atcoss_mesat_06-sat
kmtotalizer,Random_1,9.32,9.36,5.1,5.11,atcoss-atcoss_mesat_06-sat
kmtotalizer,Random_2,10.63,10.69,5.07,5.11,atcoss-atcoss_mesat_06-sat
kmtotalizer,Random_3,12.11,12.12,5.07,5.18,atcoss-atcoss_mesat_06-sat
kmtotalizer,Random_4,18.89,18.98,5.11,5.12,atcoss-atcoss_mesat_06-sat
kmtotalizer,Random_5,10.99,10.98,5.09,5.18,atcoss-atcoss_mesat_06-sat
kmtotalizer,PAMO+Occur,8.23,8.149999999999999,6.55,6.69,atcoss-atcoss_mesat_06-unsat
kmtotalizer,Natural+PAMO,9.719999999999999,9.64,4.14,4.27,atcoss-atcoss_mesat_06-unsat
kmtotalizer,PAMO,8.100000000000001,8.11,33.76,33.89,atcoss-atcoss_mesat_06-unsat
