Encoding,Configuration,solve-CPU,solve-Wall,Pre-CPU,Pre-WALL,Name
cardnetwork,Occurrence,32.89,32.89,1.83,1.9,aes-key-recovery-AES2-70-62-sat
cardnetwork,Random_1,109.11,109.09,1.07,1.15,aes-key-recovery-AES2-70-62-sat
cardnetwork,Random_2,166.6,166.56,1.08,1.16,aes-key-recovery-AES2-70-62-sat
cardnetwork,Random_3,653.1,653.1,1.07,1.15,aes-key-recovery-AES2-70-62-sat
cardnetwork,Random_4,25.12,25.18,1.14,1.15,aes-key-recovery-AES2-70-62-sat
cardnetwork,Random_5,392.81,392.79,1.07,1.16,aes-key-recovery-AES2-70-62-sat
sortnetwork,PAMO+Occur,18.98,18.99,3.06,3.1,aes-key-recovery-AES2-70-62-sat
sortnetwork,Proximity,18.990000000000002,18.990000000000002,2.38,2.42,aes-key-recovery-AES2-70-62-sat
sortnetwork,Natural,180.8,180.89,1.12,1.14,aes-key-recovery-AES2-70-62-sat
sortnetwork,Occurrence,481.69,481.66,1.83,1.89,aes-key-recovery-AES2-70-62-sat
sortnetwork,Random_1,260.52,260.54,1.13,1.17,aes-key-recovery-AES2-70-62-sat
sortnetwork,Random_2,1011.86,1011.97,1.18,1.19,aes-key-recovery-AES2-70-62-sat
sortnetwork,Random_3,56.74,56.71,1.11,1.17,aes-key-recovery-AES2-70-62-sat
sortnetwork,Random_4,55.1,55.09,1.07,1.17,aes-key-recovery-AES2-70-62-sat
sortnetwork,Random_5,295.83,295.92,1.07,1.17,aes-key-recovery-AES2-70-62-sat
sequential,PAMO+Occur,526.18,526.23,2.98,3.06,aes-key-recovery-AES2-70-62-sat
sequential,Proximity,528.09,528.13,2.38,2.4,aes-key-recovery-AES2-70-62-sat
sequential,Natural,249.94,250,1.11,1.14,aes-key-recovery-AES2-70-62-sat
sequential,Occurrence,135.37,135.36,1.81,1.87,aes-key-recovery-AES2-70-62-sat
sequential,Random_1,182.94,182.95,1.06,1.16,aes-key-recovery-AES2-70-62-sat
sequential,Random_2,33.91,33.9,1.13,1.16,aes-key-recovery-AES2-70-62-sat
sequential,Random_3,9.35,9.38,1.14,1.15,aes-key-recovery-AES2-70-62-sat
sequential,Random_4,188.37,188.39,1.14,1.16,aes-key-recovery-AES2-70-62-sat
sequential,Random_5,31.5,31.55,1.13,1.16,aes-key-recovery-AES2-70-62-sat
kmtotalizer,PAMO+Occur,21.299999999999997,21.28,2.99,3.09,aes-key-recovery-AES2-70-62-unsat
kmtotalizer,Proximity,21.59,21.61,2.39,2.43,aes-key-recovery-AES2-70-62-unsat
kmtotalizer,Natural,48.27,48.27,1.08,1.11,aes-key-recovery-AES2-70-62-unsat
kmtotalizer,Occurrence,14.66,14.65,1.8,1.89,aes-key-recovery-AES2-70-62-unsat
kmtotalizer,Random_1,45.41,45.43,1.12,1.15,aes-key-recovery-AES2-70-62-unsat
kmtotalizer,Random_2,63.85,63.88,1.14,1.14,aes-key-recovery-AES2-70-62-unsat
kmtotalizer,Random_3,24.11,24.14,1.14,1.17,aes-key-recovery-AES2-70-62-unsat
kmtotalizer,Random_4,56.93,56.96,1.13,1.15,aes-key-recovery-AES2-70-62-unsat
kmtotalizer,Random_5,12.53,12.57,1.13,1.15,aes-key-recovery-AES2-70-62-unsat
mtotalizer,PAMO+Occur,24.49,24.5,3.03,3.08,aes-key-recovery-AES2-70-62-unsat
mtotalizer,Proximity,24.55,24.6,2.37,2.42,aes-key-recovery-AES2-70-62-unsat
mtotalizer,Natural,61.93,61.93,1.07,1.13,aes-key-recovery-AES2-70-62-unsat
mtotalizer,Occurrence,29.21,29.23,1.83,1.87,aes-key-recovery-AES2-70-62-unsat
mtotalizer,Random_1,48.22,48.23,1.13,1.16,aes-key-recovery-AES2-70-62-unsat
mtotalizer,Random_2,56.2,56.24,1.07,1.16,aes-key-recovery-AES2-70-62-unsat
mtotalizer,Random_3,63.32,63.32,1.07,1.16,aes-key-recovery-AES2-70-62-unsat
mtotalizer,Random_4,63.2,63.29,1.15,1.16,aes-key-recovery-AES2-70-62-unsat
mtotalizer,Random_5,22.35,22.35,1.13,1.17,aes-key-recovery-AES2-70-62-unsat
cardnetwork,PAMO+Occur,19.630000000000003,19.63,3.06,3.11,aes-key-recovery-AES2-70-62-unsat
cardnetwork,Proximity,20.0,20.05,2.38,2.4,aes-key-recovery-AES2-70-62-unsat
cardnetwork,Natural,26.49,26.48,1.1,1.12,aes-key-recovery-AES2-70-62-unsat
cardnetwork,Occurrence,9.53,9.52,1.82,1.89,aes-key-recovery-AES2-70-62-unsat
cardnetwork,Random_1,37.29,37.31,1.14,1.16,aes-key-recovery-AES2-70-62-unsat
cardnetwork,Random_2,86.6,86.61,1.08,1.16,aes-key-recovery-AES2-70-62-unsat
cardnetwork,Random_3,42.28,42.28,1.14,1.17,aes-key-recovery-AES2-70-62-unsat
cardnetwork,Random_4,64.3,64.33,1.13,1.16,aes-key-recovery-AES2-70-62-unsat
cardnetwork,Random_5,169.04,169.16,1.14,1.17,aes-key-recovery-AES2-70-62-unsat
sortnetwork,PAMO+Occur,50.28,50.29,3.06,3.1,aes-key-recovery-AES2-70-62-unsat
sortnetwork,Proximity,50.5,50.48,2.38,2.43,aes-key-recovery-AES2-70-62-unsat
sortnetwork,Natural,43.96,43.96,1.13,1.15,aes-key-recovery-AES2-70-62-unsat
sortnetwork,Occurrence,15.14,15.17,1.86,1.88,aes-key-recovery-AES2-70-62-unsat
sortnetwork,Random_1,58.28,58.36,1.16,1.18,aes-key-recovery-AES2-70-62-unsat
sortnetwork,Random_2,42.37,42.34,1.08,1.17,aes-key-recovery-AES2-70-62-unsat
sortnetwork,Random_3,63.37,63.39,1.14,1.19,aes-key-recovery-AES2-70-62-unsat
sortnetwork,Random_4,54.11,54.1,1.12,1.18,aes-key-recovery-AES2-70-62-unsat
sortnetwork,Random_5,11.89,11.84,1.08,1.17,aes-key-recovery-AES2-70-62-unsat
sequential,PAMO+Occur,55.28,55.28,2.98,3.07,aes-key-recovery-AES2-70-62-unsat
sequential,Proximity,54.279999999999994,54.269999999999996,2.38,2.42,aes-key-recovery-AES2-70-62-unsat
sequential,Natural,16.92,16.94,1.07,1.13,aes-key-recovery-AES2-70-62-unsat
sequential,Occurrence,11.11,11.17,1.82,1.87,aes-key-recovery-AES2-70-62-unsat
sequential,Random_1,24.71,24.65,1.07,1.15,aes-key-recovery-AES2-70-62-unsat
sequential,Random_2,74.01,74.05,1.13,1.17,aes-key-recovery-AES2-70-62-unsat
sequential,Random_3,12.5,12.57,1.14,1.16,aes-key-recovery-AES2-70-62-unsat
sequential,Random_4,9.12,9.12,1.07,1.16,aes-key-recovery-AES2-70-62-unsat
sequential,Random_5,30.89,30.86,1.07,1.16,aes-key-recovery-AES2-70-62-unsat
kmtotalizer,PAMO+Occur,6.030000000000001,6.08,3.02,3.06,aes-key-recovery-AES2-72-68-sat
kmtotalizer,Proximity,6.069999999999999,6.139999999999999,2.37,2.4,aes-key-recovery-AES2-72-68-sat
kmtotalizer,Natural,2.95,2.96,1.1,1.13,aes-key-recovery-AES2-72-68-sat
kmtotalizer,Occurrence,3.31,3.3,1.81,1.9,aes-key-recovery-AES2-72-68-sat
kmtotalizer,Random_1,6.26,6.26,1.12,1.15,aes-key-recovery-AES2-72-68-sat
kmtotalizer,Random_2,5.97,6.06,1.12,1.15,aes-key-recovery-AES2-72-68-sat
kmtotalizer,Random_3,9.28,9.3,1.12,1.16,aes-key-recovery-AES2-72-68-sat
kmtotalizer,Random_4,3.83,3.77,1.07,1.17,aes-key-recovery-AES2-72-68-sat
